video_path,label
patch_1,unknown
patch_2,unknown
patch_3,unknown
patch_4,unknown
patch_5,pseudo_change
patch_6,pseudo_change
patch_7,unknown
patch_8,unknown
patch_9,unknown
patch_10,unknown
patch_11,unknown
patch_12,unknown
patch_13,pseudo_change
patch_14,unknown
patch_15,unknown
patch_16,unknown
patch_17,unknown
patch_18,unknown
patch_19,unknown
patch_20,unknown
patch_21,unknown
patch_22,unknown
patch_23,pseudo_change
patch_24,pseudo_change
patch_25,pseudo_change
patch_26,unknown
patch_27,pseudo_change
patch_28,unknown
patch_29,unknown
patch_30,unknown
patch_31,unknown
patch_32,unknown
patch_33,unknown
patch_34,pseudo_change
patch_35,unknown
patch_36,unknown
patch_37,unknown
patch_38,unknown
patch_39,unknown
patch_40,unknown
patch_41,unknown
patch_42,pseudo_change
patch_43,unknown
patch_44,unknown
patch_45,unknown
patch_46,unknown
patch_47,unknown
patch_48,unknown
patch_49,unknown
patch_50,unknown
patch_51,unknown
patch_52,unknown
patch_53,unknown
patch_54,pseudo_change
patch_55,unknown
patch_56,unknown
patch_57,unknown
patch_58,pseudo_change
patch_59,unknown
patch_60,pseudo_change
patch_61,unknown
patch_62,unknown
patch_63,unknown
patch_64,unknown
patch_65,pseudo_change
patch_66,unknown
patch_67,pseudo_change
patch_68,unknown
patch_69,unknown
patch_70,unknown
patch_71,unknown
patch_72,unknown
patch_73,unknown
patch_74,unknown
patch_75,unknown
patch_76,unknown
patch_77,pseudo_change
patch_78,unknown
patch_79,unknown
patch_80,unknown
patch_81,unknown
patch_82,unknown
patch_83,unknown
patch_84,unknown
patch_85,unknown
patch_86,pseudo_change
patch_87,pseudo_change
patch_88,unknown
patch_89,unknown
patch_90,unknown
patch_91,pseudo_change
patch_92,unknown
patch_93,unknown
patch_94,unknown
patch_95,unknown
patch_96,unknown
patch_97,pseudo_change
patch_98,unknown
patch_99,unknown
patch_100,pseudo_change
patch_101,pseudo_change
patch_102,unknown
patch_103,unknown
patch_104,pseudo_change
patch_105,unknown
patch_106,unknown
patch_107,unknown
patch_108,unknown
patch_109,pseudo_change
patch_110,unknown
patch_111,unknown
patch_112,real_change
patch_113,unknown
patch_114,unknown
patch_115,unknown
patch_116,unknown
patch_117,pseudo_change
patch_118,unknown
patch_119,unknown
patch_120,pseudo_change
patch_121,unknown
patch_122,pseudo_change
patch_123,unknown
patch_124,unknown
patch_125,unknown
patch_126,unknown
patch_127,unknown
patch_128,pseudo_change
patch_129,unknown
patch_130,pseudo_change
patch_131,unknown
patch_132,unknown
patch_133,unknown
patch_134,unknown
patch_135,unknown
patch_136,unknown
patch_137,pseudo_change
patch_138,pseudo_change
patch_139,unknown
patch_140,unknown
patch_141,pseudo_change
patch_142,unknown
patch_143,unknown
patch_144,unknown
patch_145,unknown
patch_146,pseudo_change
patch_147,pseudo_change
patch_148,unknown
patch_149,unknown
patch_150,unknown
patch_151,pseudo_change
patch_152,unknown
patch_153,unknown
patch_154,unknown
patch_155,pseudo_change
patch_156,unknown
patch_157,unknown
patch_158,unknown
patch_159,unknown
patch_160,unknown
patch_161,pseudo_change
patch_162,unknown
patch_163,unknown
patch_164,pseudo_change
patch_165,pseudo_change
patch_166,unknown
patch_167,unknown
patch_168,unknown
patch_169,pseudo_change
patch_170,unknown
patch_171,pseudo_change
patch_172,unknown
patch_173,pseudo_change
patch_174,unknown
patch_175,unknown
patch_176,unknown
patch_177,pseudo_change
patch_178,unknown
patch_179,unknown
patch_180,unknown
patch_181,pseudo_change
patch_182,unknown
patch_183,unknown
patch_184,unknown
patch_185,unknown
patch_186,unknown
patch_187,unknown
patch_188,unknown
patch_189,unknown
patch_190,pseudo_change
patch_191,unknown
patch_192,unknown
patch_193,pseudo_change
patch_194,unknown
patch_195,pseudo_change
patch_196,pseudo_change
patch_197,unknown
patch_198,unknown
patch_199,pseudo_change
patch_200,pseudo_change
patch_201,unknown
patch_202,unknown
patch_203,pseudo_change
patch_204,unknown
patch_205,unknown
patch_206,unknown
patch_207,unknown
patch_208,unknown
patch_209,pseudo_change
patch_210,unknown
patch_211,pseudo_change
patch_212,unknown
patch_213,pseudo_change
patch_214,unknown
patch_215,unknown
patch_216,unknown
patch_217,unknown
patch_218,real_change
patch_219,pseudo_change
patch_220,unknown
patch_221,unknown
patch_222,unknown
patch_223,unknown
patch_224,unknown
patch_225,unknown
patch_226,unknown
patch_227,pseudo_change
patch_228,unknown
patch_229,unknown
patch_230,pseudo_change
patch_231,unknown
patch_232,pseudo_change
patch_233,pseudo_change
patch_234,unknown
patch_235,unknown
patch_236,unknown
patch_237,unknown
patch_238,unknown
patch_239,unknown
patch_240,unknown
patch_241,unknown
patch_242,unknown
patch_243,pseudo_change
patch_244,unknown
patch_245,unknown
patch_246,pseudo_change
patch_247,pseudo_change
patch_248,unknown
patch_249,unknown
patch_250,unknown
patch_251,unknown
patch_252,unknown
patch_253,pseudo_change
patch_254,unknown
patch_255,unknown
patch_256,unknown
patch_257,unknown
patch_258,unknown
patch_259,pseudo_change
patch_260,unknown
patch_261,unknown
patch_262,unknown
patch_263,unknown
patch_264,unknown
patch_265,unknown
patch_266,unknown
patch_267,unknown
patch_268,unknown
patch_269,unknown
patch_270,unknown
patch_271,unknown
patch_272,unknown
patch_273,unknown
patch_274,unknown
patch_275,unknown
patch_276,unknown
patch_277,unknown
patch_278,unknown
patch_279,unknown
patch_280,pseudo_change
patch_281,unknown
patch_282,unknown
patch_283,unknown
patch_284,unknown
patch_285,unknown
patch_286,unknown
patch_287,unknown
patch_288,unknown
patch_289,unknown
patch_290,unknown
patch_291,pseudo_change
patch_292,unknown
patch_293,unknown
patch_294,unknown
patch_295,pseudo_change
patch_296,unknown
patch_297,unknown
patch_298,unknown
patch_299,unknown
patch_300,unknown
