epoch	sup	unsup	mask%	train_acc	val_acc	val_loss
1	1.9920	0.0000	0.000	0.0000	0.0000	7.4339
2	1.4299	0.0000	0.000	0.0000	0.0000	6.4132
3	0.7938	0.0000	0.000	0.7500	0.7059	3.3298
4	0.7479	0.0354	0.688	0.7500	0.7059	0.9709
5	1.1714	0.0830	1.000	0.7500	0.7059	1.0225
6	0.8031	0.1082	1.000	0.7500	0.7059	1.0418
7	0.7584	0.1235	1.000	0.7500	0.7059	0.9882
8	0.7420	0.0736	1.000	0.7500	0.7059	0.9657
9	0.7500	0.0991	1.000	0.7500	0.7059	0.9421
10	1.2845	0.0634	1.000	0.7500	0.7059	0.9710
11	0.9725	0.0882	1.000	0.7500	0.7059	0.9799
12	0.6894	0.0875	1.000	0.7500	0.7059	0.9592
13	0.6606	0.0563	1.000	0.7500	0.7059	0.9546
14	0.4704	0.0475	1.000	0.7500	0.7059	0.9433
15	0.3680	0.0608	1.000	0.7500	0.7059	0.9524
16	0.5468	0.0359	1.000	0.7500	0.7059	0.9339
17	0.4954	0.0234	1.000	0.7500	0.7059	0.9071
18	0.6147	0.0394	1.000	0.7500	0.7059	0.8859
19	0.6800	0.0294	1.000	0.7500	0.7059	0.8674
20	0.4704	0.0483	1.000	0.7500	0.7059	0.8255
21	0.4448	0.0328	1.000	0.7500	0.7059	0.7801
22	0.6229	0.0344	1.000	0.7500	0.7059	0.7491
23	0.5920	0.0208	1.000	0.7500	0.7059	0.7150
24	0.9272	0.1587	1.000	0.7500	0.7059	0.8027
25	0.9178	0.0934	1.000	0.7500	0.7059	1.0613
26	0.7122	0.0987	1.000	0.7500	0.7059	1.1543
27	0.8541	0.0854	1.000	0.7500	0.7059	1.1689
28	0.7861	0.0947	1.000	0.7500	0.7059	1.1502
29	0.6978	0.0953	1.000	0.7500	0.7059	1.1201
30	0.8301	0.0957	1.000	0.7500	0.7059	1.0966
31	0.8129	0.0777	1.000	0.7500	0.7059	1.0738
32	0.7368	0.0780	1.000	0.7500	0.7059	1.0501
33	0.7087	0.0900	1.000	0.7500	0.7059	1.0260
34	0.7557	0.0825	1.000	0.7500	0.7059	1.0136
35	0.8229	0.0890	1.000	0.7500	0.7059	0.9980
36	0.8370	0.0519	1.000	0.7500	0.7059	0.9871
37	0.8029	0.0946	1.000	0.7500	0.7059	0.9762
38	0.7406	0.0943	1.000	0.7500	0.7059	0.9636
39	0.7055	0.1060	1.000	0.7500	0.7059	0.9455
40	0.8013	0.0604	1.000	0.7500	0.7059	0.9420
41	0.7358	0.0861	1.000	0.7500	0.7059	0.9300
42	0.7041	0.0837	1.000	0.7500	0.7059	0.9178
43	0.7074	0.0981	1.000	0.7500	0.7059	0.9078
44	0.9192	0.0318	1.000	0.7500	0.7059	0.9241
45	1.0068	0.1105	1.000	0.7500	0.7059	0.9385
46	0.7226	0.1081	1.000	0.7500	0.7059	0.9216
47	0.8010	0.0816	1.000	0.7500	0.7059	0.9184
48	0.7815	0.0860	1.000	0.7500	0.7059	0.9088
49	0.7871	0.0573	1.000	0.7500	0.7059	0.9121
50	0.8065	0.0776	1.000	0.7500	0.7059	0.9141
